Source;Target;Type
1;9;Undirected
1;296;Undirected
1;368;Undirected
1;680;Undirected
1;694;Undirected
1;762;Undirected
1;980;Undirected
2;91;Undirected
2;214;Undirected
2;522;Undirected
2;525;Undirected
2;640;Undirected
2;983;Undirected
2;1000;Undirected
3;228;Undirected
3;230;Undirected
3;235;Undirected
3;259;Undirected
3;293;Undirected
3;581;Undirected
3;766;Undirected
4;37;Undirected
4;137;Undirected
4;329;Undirected
4;438;Undirected
4;670;Undirected
4;957;Undirected
5;38;Undirected
5;69;Undirected
5;287;Undirected
5;354;Undirected
5;369;Undirected
5;404;Undirected
5;487;Undirected
5;526;Undirected
5;852;Undirected
5;942;Undirected
6;96;Undirected
6;213;Undirected
6;217;Undirected
6;410;Undirected
6;624;Undirected
6;793;Undirected
6;851;Undirected
6;859;Undirected
6;885;Undirected
6;923;Undirected
7;139;Undirected
7;439;Undirected
7;775;Undirected
7;796;Undirected
8;87;Undirected
8;159;Undirected
8;181;Undirected
8;327;Undirected
8;384;Undirected
8;564;Undirected
8;778;Undirected
8;823;Undirected
8;904;Undirected
9;106;Undirected
9;128;Undirected
9;284;Undirected
9;489;Undirected
9;502;Undirected
9;610;Undirected
9;694;Undirected
9;745;Undirected
9;948;Undirected
10;54;Undirected
10;226;Undirected
10;338;Undirected
11;47;Undirected
11;380;Undirected
11;540;Undirected
11;626;Undirected
11;749;Undirected
12;153;Undirected
12;206;Undirected
12;225;Undirected
12;356;Undirected
12;384;Undirected
12;441;Undirected
12;475;Undirected
12;518;Undirected
12;621;Undirected
12;770;Undirected
12;798;Undirected
12;958;Undirected
13;92;Undirected
13;485;Undirected
13;612;Undirected
13;700;Undirected
13;759;Undirected
13;943;Undirected
14;79;Undirected
14;147;Undirected
14;251;Undirected
14;375;Undirected
14;603;Undirected
14;630;Undirected
14;728;Undirected
14;732;Undirected
14;939;Undirected
14;972;Undirected
15;133;Undirected
15;196;Undirected
15;197;Undirected
15;750;Undirected
15;947;Undirected
16;209;Undirected
16;235;Undirected
16;524;Undirected
16;539;Undirected
16;690;Undirected
16;902;Undirected
17;146;Undirected
17;368;Undirected
17;415;Undirected
17;424;Undirected
17;433;Undirected
17;498;Undirected
17;507;Undirected
17;591;Undirected
17;719;Undirected
18;146;Undirected
18;557;Undirected
18;563;Undirected
18;728;Undirected
18;986;Undirected
19;71;Undirected
19;294;Undirected
19;313;Undirected
19;353;Undirected
19;666;Undirected
19;837;Undirected
20;56;Undirected
20;257;Undirected
20;290;Undirected
20;345;Undirected
20;405;Undirected
20;448;Undirected
20;709;Undirected
20;865;Undirected
20;935;Undirected
20;992;Undirected
21;64;Undirected
21;88;Undirected
21;111;Undirected
21;500;Undirected
21;529;Undirected
21;586;Undirected
21;596;Undirected
21;672;Undirected
21;759;Undirected
21;764;Undirected
21;886;Undirected
21;998;Undirected
22;98;Undirected
22;251;Undirected
22;253;Undirected
22;742;Undirected
22;743;Undirected
22;948;Undirected
22;960;Undirected
23;284;Undirected
23;406;Undirected
23;427;Undirected
23;453;Undirected
23;647;Undirected
24;94;Undirected
24;114;Undirected
24;383;Undirected
24;652;Undirected
24;664;Undirected
24;686;Undirected
24;757;Undirected
24;804;Undirected
24;968;Undirected
25;323;Undirected
25;390;Undirected
25;479;Undirected
25;483;Undirected
25;659;Undirected
25;874;Undirected
26;121;Undirected
26;785;Undirected
26;838;Undirected
27;30;Undirected
27;46;Undirected
27;250;Undirected
27;258;Undirected
27;352;Undirected
27;752;Undirected
28;369;Undirected
28;378;Undirected
28;404;Undirected
28;589;Undirected
28;611;Undirected
28;764;Undirected
28;985;Undirected
29;198;Undirected
29;318;Undirected
29;350;Undirected
29;463;Undirected
29;673;Undirected
29;785;Undirected
29;860;Undirected
29;939;Undirected
30;166;Undirected
30;285;Undirected
30;292;Undirected
30;293;Undirected
30;303;Undirected
30;560;Undirected
30;668;Undirected
30;712;Undirected
31;48;Undirected
31;132;Undirected
31;514;Undirected
31;845;Undirected
31;888;Undirected
32;250;Undirected
32;425;Undirected
32;480;Undirected
32;571;Undirected
33;92;Undirected
33;363;Undirected
33;532;Undirected
33;587;Undirected
