Source;Target;Type
2;27;Undirected
2;764;Undirected
2;3843;Undirected
3;466;Undirected
4;2014;Undirected
5;204;Undirected
6;3191;Undirected
6;3653;Undirected
7;1498;Undirected
7;2825;Undirected
7;4340;Undirected
8;598;Undirected
8;3642;Undirected
9;4143;Undirected
10;1706;Undirected
10;3667;Undirected
11;583;Undirected
12;426;Undirected
12;1006;Undirected
12;2118;Undirected
14;725;Undirected
14;1839;Undirected
14;3718;Undirected
15;799;Undirected
15;3135;Undirected
15;3904;Undirected
17;223;Undirected
17;780;Undirected
19;3747;Undirected
19;4534;Undirected
21;3198;Undirected
22;4586;Undirected
23;4152;Undirected
24;260;Undirected
25;4271;Undirected
26;2222;Undirected
27;4849;Undirected
29;1307;Undirected
30;4266;Undirected
31;412;Undirected
32;49;Undirected
32;222;Undirected
32;271;Undirected
32;2991;Undirected
32;3897;Undirected
33;1250;Undirected
33;1854;Undirected
33;2411;Undirected
33;2702;Undirected
34;420;Undirected
35;3331;Undirected
36;1503;Undirected
36;3700;Undirected
37;1507;Undirected
38;3220;Undirected
39;199;Undirected
39;1979;Undirected
39;3859;Undirected
40;315;Undirected
41;1784;Undirected
41;4751;Undirected
41;4854;Undirected
44;2862;Undirected
44;4965;Undirected
45;2943;Undirected
46;49;Undirected
46;612;Undirected
47;1204;Undirected
47;2962;Undirected
47;3878;Undirected
48;618;Undirected
48;2529;Undirected
50;1073;Undirected
50;2658;Undirected
51;1835;Undirected
51;4963;Undirected
52;487;Undirected
52;4166;Undirected
52;4349;Undirected
53;3440;Undirected
53;4335;Undirected
54;807;Undirected
54;4385;Undirected
55;788;Undirected
55;4401;Undirected
56;710;Undirected
59;845;Undirected
60;1595;Undirected
60;2078;Undirected
62;4507;Undirected
63;139;Undirected
63;1859;Undirected
63;3622;Undirected
63;4165;Undirected
64;3035;Undirected
64;3623;Undirected
64;4935;Undirected
64;4963;Undirected
65;3206;Undirected
65;4254;Undirected
66;97;Undirected
66;977;Undirected
66;2153;Undirected
66;2432;Undirected
66;4988;Undirected
68;1432;Undirected
68;2008;Undirected
68;2748;Undirected
68;3542;Undirected
69;390;Undirected
70;1403;Undirected
71;3767;Undirected
71;4576;Undirected
72;2275;Undirected
72;4284;Undirected
73;2600;Undirected
75;428;Undirected
75;1890;Undirected
75;2828;Undirected
75;3161;Undirected
76;2783;Undirected
77;1198;Undirected
78;281;Undirected
