Source;Target;Type
1;2;Undirected
1;3;Undirected
1;4;Undirected
1;5;Undirected
2;3;Undirected
2;4;Undirected
2;5;Undirected
3;4;Undirected
3;5;Undirected
4;5;Undirected
6;5;Undirected
6;3;Undirected
6;1;Undirected
6;3;Undirected
7;3;Undirected
7;1;Undirected
7;1;Undirected
7;5;Undirected
8;7;Undirected
8;7;Undirected
8;2;Undirected
8;4;Undirected
9;5;Undirected
9;5;Undirected
9;2;Undirected
9;9;Undirected
10;7;Undirected
10;10;Undirected
10;4;Undirected
10;6;Undirected
11;9;Undirected
11;8;Undirected
11;5;Undirected
11;6;Undirected
12;11;Undirected
12;5;Undirected
12;2;Undirected
12;3;Undirected
13;8;Undirected
13;8;Undirected
13;3;Undirected
13;10;Undirected
14;2;Undirected
14;1;Undirected
14;10;Undirected
14;5;Undirected
15;4;Undirected
15;8;Undirected
15;11;Undirected
15;5;Undirected
16;7;Undirected
16;6;Undirected
16;9;Undirected
16;6;Undirected
17;6;Undirected
17;1;Undirected
17;12;Undirected
17;14;Undirected
18;17;Undirected
18;9;Undirected
18;11;Undirected
18;9;Undirected
19;17;Undirected
19;16;Undirected
19;2;Undirected
19;15;Undirected
20;10;Undirected
20;14;Undirected
20;15;Undirected
20;16;Undirected
21;7;Undirected
21;5;Undirected
21;19;Undirected
21;5;Undirected
22;10;Undirected
22;20;Undirected
22;2;Undirected
22;19;Undirected
23;9;Undirected
23;11;Undirected
23;7;Undirected
23;10;Undirected
24;18;Undirected
24;20;Undirected
24;14;Undirected
24;11;Undirected
25;2;Undirected
25;6;Undirected
25;22;Undirected
25;12;Undirected
26;16;Undirected
26;14;Undirected
26;1;Undirected
26;5;Undirected
27;19;Undirected
27;5;Undirected
27;11;Undirected
27;5;Undirected
28;24;Undirected
28;11;Undirected
28;14;Undirected
28;13;Undirected
29;5;Undirected
29;28;Undirected
29;26;Undirected
29;17;Undirected
30;15;Undirected
30;27;Undirected
30;16;Undirected
30;19;Undirected
31;12;Undirected
31;13;Undirected
31;26;Undirected
31;5;Undirected
32;5;Undirected
32;20;Undirected
32;18;Undirected
32;31;Undirected
33;29;Undirected
33;19;Undirected
33;27;Undirected
33;26;Undirected
34;15;Undirected
34;32;Undirected
34;13;Undirected
34;19;Undirected
35;19;Undirected
35;18;Undirected
35;17;Undirected
35;26;Undirected
36;12;Undirected
36;22;Undirected
36;12;Undirected
36;36;Undirected
37;26;Undirected
37;33;Undirected
37;12;Undirected
37;10;Undirected
38;38;Undirected
38;9;Undirected
38;14;Undirected
38;37;Undirected
39;22;Undirected
39;31;Undirected
39;16;Undirected
39;17;Undirected
40;6;Undirected
40;9;Undirected
40;25;Undirected
40;35;Undirected
41;41;Undirected
41;6;Undirected
41;15;Undirected
41;4;Undirected
42;7;Undirected
42;5;Undirected
42;33;Undirected
42;4;Undirected
43;37;Undirected
43;39;Undirected
43;32;Undirected
43;1;Undirected
44;27;Undirected
44;8;Undirected
44;35;Undirected
44;42;Undirected
45;3;Undirected
45;23;Undirected
45;39;Undirected
45;6;Undirected
46;29;Undirected
46;42;Undirected
46;19;Undirected
46;15;Undirected
47;12;Undirected
47;19;Undirected
47;2;Undirected
47;47;Undirected
48;19;Undirected
48;34;Undirected
48;38;Undirected
48;2;Undirected
49;30;Undirected
49;25;Undirected
49;15;Undirected
49;47;Undirected
50;48;Undirected
50;6;Undirected
50;39;Undirected
50;18;Undirected
51;41;Undirected
51;40;Undirected
51;30;Undirected
51;24;Undirected
52;43;Undirected
52;39;Undirected
