Source;Target;Type
1;126;Undirected
1;269;Undirected
1;1442;Undirected
1;1803;Undirected
1;3072;Undirected
1;5005;Undirected
1;7673;Undirected
1;8192;Undirected
1;8636;Undirected
1;8948;Undirected
1;9100;Undirected
2;140;Undirected
2;1060;Undirected
2;1909;Undirected
2;4205;Undirected
2;4443;Undirected
2;5991;Undirected
2;6236;Undirected
2;7052;Undirected
3;969;Undirected
3;1845;Undirected
3;1959;Undirected
3;2009;Undirected
3;2072;Undirected
3;2320;Undirected
3;2533;Undirected
3;3614;Undirected
3;4835;Undirected
3;5950;Undirected
3;6171;Undirected
3;6705;Undirected
3;6709;Undirected
3;6756;Undirected
3;6758;Undirected
3;7462;Undirected
3;7615;Undirected
3;7722;Undirected
3;7770;Undirected
3;8435;Undirected
3;9082;Undirected
3;9484;Undirected
3;9766;Undirected
3;9890;Undirected
4;253;Undirected
4;769;Undirected
4;1806;Undirected
4;1991;Undirected
4;3263;Undirected
4;3282;Undirected
4;3517;Undirected
4;3633;Undirected
4;3683;Undirected
4;5618;Undirected
4;5727;Undirected
4;6003;Undirected
4;6468;Undirected
4;8464;Undirected
4;9470;Undirected
4;9643;Undirected
4;9873;Undirected
4;9897;Undirected
5;620;Undirected
5;1853;Undirected
5;2107;Undirected
5;2234;Undirected
5;4032;Undirected
5;5380;Undirected
5;5869;Undirected
5;6016;Undirected
5;9021;Undirected
5;9986;Undirected
6;295;Undirected
6;389;Undirected
6;1250;Undirected
6;2096;Undirected
6;2740;Undirected
6;3029;Undirected
6;3449;Undirected
6;4886;Undirected
6;6847;Undirected
6;6949;Undirected
6;7105;Undirected
6;7347;Undirected
6;8719;Undirected
6;9066;Undirected
6;9080;Undirected
7;453;Undirected
7;1492;Undirected
7;1677;Undirected
7;1924;Undirected
7;2046;Undirected
7;3582;Undirected
7;3850;Undirected
7;4274;Undirected
7;4632;Undirected
7;5316;Undirected
7;5574;Undirected
7;5793;Undirected
7;5874;Undirected
7;7132;Undirected
7;7731;Undirected
7;7932;Undirected
7;8076;Undirected
7;9486;Undirected
8;738;Undirected
8;1825;Undirected
8;2832;Undirected
8;3060;Undirected
8;3244;Undirected
8;3872;Undirected
8;4046;Undirected
8;5212;Undirected
8;6241;Undirected
8;7159;Undirected
8;7248;Undirected
8;7393;Undirected
8;7723;Undirected
8;8598;Undirected
8;9933;Undirected
9;243;Undirected
9;372;Undirected
9;426;Undirected
9;456;Undirected
9;759;Undirected
9;1194;Undirected
9;2522;Undirected
9;2987;Undirected
9;3473;Undirected
9;3842;Undirected
9;4345;Undirected
9;6164;Undirected
9;6195;Undirected
9;6953;Undirected
9;7691;Undirected
9;8552;Undirected
9;8830;Undirected
9;9035;Undirected
9;9427;Undirected
9;9540;Undirected
10;145;Undirected
10;1301;Undirected
10;1422;Undirected
10;2003;Undirected
10;2238;Undirected
10;4462;Undirected
10;5355;Undirected
10;5813;Undirected
10;6543;Undirected
10;7761;Undirected
10;9341;Undirected
10;9880;Undirected
11;758;Undirected
11;1316;Undirected
11;2110;Undirected
11;2193;Undirected
11;2380;Undirected
11;2518;Undirected
11;2672;Undirected
11;4050;Undirected
11;5252;Undirected
11;5340;Undirected
11;5911;Undirected
11;6165;Undirected
11;8679;Undirected
11;9545;Undirected
11;9672;Undirected
12;210;Undirected
12;382;Undirected
12;1239;Undirected
12;1601;Undirected
12;2437;Undirected
12;4739;Undirected
12;4858;Undirected
12;5135;Undirected
12;5474;Undirected
12;7054;Undirected
12;7639;Undirected
12;7865;Undirected
12;9511;Undirected
13;520;Undirected
13;582;Undirected
13;1092;Undirected
13;2008;Undirected
13;3149;Undirected
13;3584;Undirected
13;4105;Undirected
13;4519;Undirected
13;4734;Undirected
13;4857;Undirected
13;7565;Undirected
13;7618;Undirected
13;8139;Undirected
13;8948;Undirected
13;9577;Undirected
14;589;Undirected
14;1309;Undirected
14;1553;Undirected
14;1888;Undirected
14;2303;Undirected
14;2708;Undirected
14;2750;Undirected
14;3252;Undirected
14;3538;Undirected
14;3631;Undirected
14;4274;Undirected
14;4473;Undirected
14;5396;Undirected
14;5624;Undirected
14;5803;Undirected
14;5984;Undirected
14;6555;Undirected
14;6661;Undirected
14;7549;Undirected
14;9366;Undirected
14;9490;Undirected
15;217;Undirected
15;290;Undirected
15;453;Undirected
15;1256;Undirected
15;2539;Undirected
15;2761;Undirected
15;2952;Undirected
15;4608;Undirected
15;6397;Undirected
15;7303;Undirected
15;7379;Undirected
15;8655;Undirected
15;9291;Undirected
15;9487;Undirected
15;9878;Undirected
16;360;Undirected
16;713;Undirected
16;784;Undirected
16;2121;Undirected
16;2221;Undirected
16;4949;Undirected
16;5605;Undirected
16;5669;Undirected
16;6034;Undirected
16;6408;Undirected
16;6626;Undirected
16;6720;Undirected
16;7248;Undirected
16;7455;Undirected
16;8523;Undirected
16;8877;Undirected
16;9045;Undirected
16;9298;Undirected
16;9487;Undirected
17;158;Undirected
17;500;Undirected
17;1510;Undirected
17;2468;Undirected
17;2769;Undirected
17;3543;Undirected
17;3952;Undirected
17;4046;Undirected
17;4142;Undirected
17;5595;Undirected
17;5765;Undirected
17;6184;Undirected
17;6980;Undirected
17;7684;Undirected
17;9073;Undirected
17;9692;Undirected
18;3053;Undirected
18;3402;Undirected
18;3884;Undirected
18;4124;Undirected
18;4963;Undirected
18;5576;Undirected
18;5670;Undirected
18;5787;Undirected
18;6278;Undirected
18;6338;Undirected
18;6614;Undirected
18;6674;Undirected
18;7027;Undirected
18;8047;Undirected
18;8119;Undirected
18;8280;Undirected
18;8560;Undirected
18;9250;Undirected
18;9322;Undirected
18;9967;Undirected
19;967;Undirected
19;1595;Undirected
19;2247;Undirected
19;4744;Undirected
19;6418;Undirected
19;7029;Undirected
19;7862;Undirected
19;8031;Undirected
19;8778;Undirected
20;245;Undirected
20;325;Undirected
20;473;Undirected
20;867;Undirected
20;1275;Undirected
20;3033;Undirected
20;3312;Undirected
20;4409;Undirected
20;5724;Undirected
20;5796;Undirected
20;5914;Undirected
20;6335;Undirected
20;6469;Undirected
20;6736;Undirected
20;6939;Undirected
20;8205;Undirected
20;8312;Undirected
20;9028;Undirected
20;9145;Undirected
20;9962;Undirected
21;284;Undirected
21;1648;Undirected
21;1894;Undirected
21;2030;Undirected
21;2697;Undirected
21;3245;Undirected
21;4070;Undirected
21;4490;Undirected
21;5756;Undirected
21;6276;Undirected
21;7109;Undirected
21;8676;Undirected
21;9477;Undirected
21;9582;Undirected
22;873;Undirected
22;1214;Undirected
22;1563;Undirected
22;2435;Undirected
22;3171;Undirected
22;3498;Undirected
22;3637;Undirected
22;4163;Undirected
22;4755;Undirected
22;4855;Undirected
22;5358;Undirected
22;6023;Undirected
22;6138;Undirected
22;6370;Undirected
22;6514;Undirected
22;7165;Undirected
22;7468;Undirected
22;8187;Undirected
22;9573;Undirected
23;432;Undirected
23;560;Undirected
23;685;Undirected
23;1509;Undirected
23;1739;Undirected
23;3391;Undirected
23;3737;Undirected
23;4385;Undirected
23;4896;Undirected
23;5848;Undirected
23;5902;Undirected
23;8019;Undirected
23;8374;Undirected
23;8630;Undirected
23;9686;Undirected
24;216;Undirected
24;3412;Undirected
24;4053;Undirected
24;4081;Undirected
24;4194;Undirected
24;4519;Undirected
24;4561;Undirected
24;5015;Undirected
24;7269;Undirected
24;8576;Undirected
24;8683;Undirected
24;8710;Undirected
24;9167;Undirected
25;102;Undirected
25;370;Undirected
25;463;Undirected
25;541;Undirected
25;1431;Undirected
25;1803;Undirected
25;2009;Undirected
25;2571;Undirected
25;2580;Undirected
25;2895;Undirected
25;3251;Undirected
25;3301;Undirected
25;3428;Undirected
25;3744;Undirected
25;3842;Undirected
25;5753;Undirected
25;5896;Undirected
25;6288;Undirected
25;7808;Undirected
25;8741;Undirected
26;320;Undirected
26;1951;Undirected
26;3200;Undirected
26;3385;Undirected
26;3454;Undirected
26;3515;Undirected
26;4112;Undirected
26;5372;Undirected
26;5625;Undirected
26;5645;Undirected
26;5943;Undirected
26;8010;Undirected
26;9008;Undirected
26;9773;Undirected
27;201;Undirected
27;468;Undirected
27;2705;Undirected
27;2713;Undirected
27;3172;Undirected
27;4478;Undirected
27;4503;Undirected
27;6124;Undirected
27;6770;Undirected
27;7701;Undirected
27;8474;Undirected
27;8786;Undirected
27;8820;Undirected
28;119;Undirected
28;1343;Undirected
28;2117;Undirected
28;3257;Undirected
28;4448;Undirected
28;5733;Undirected
28;6184;Undirected
28;6277;Undirected
28;7160;Undirected
28;7754;Undirected
28;8501;Undirected
28;9085;Undirected
28;9693;Undirected
29;792;Undirected
29;1576;Undirected
29;2052;Undirected
29;3476;Undirected
29;3616;Undirected
29;5450;Undirected
29;5479;Undirected
29;6067;Undirected
29;6395;Undirected
29;6479;Undirected
29;6559;Undirected
29;7362;Undirected
29;7803;Undirected
29;8542;Undirected
29;9743;Undirected
30;655;Undirected
30;671;Undirected
30;690;Undirected
30;2915;Undirected
30;3683;Undirected
30;4575;Undirected
30;4603;Undirected
30;5016;Undirected
30;5285;Undirected
30;5471;Undirected
30;6470;Undirected
30;6701;Undirected
30;6883;Undirected
30;7101;Undirected
30;7917;Undirected
30;8164;Undirected
30;8212;Undirected
30;9047;Undirected
30;9262;Undirected
31;246;Undirected
31;1021;Undirected
31;1139;Undirected
31;1193;Undirected
31;1543;Undirected
31;2277;Undirected
31;2905;Undirected
31;3387;Undirected
31;3782;Undirected
31;4516;Undirected
31;4928;Undirected
31;5012;Undirected
31;5787;Undirected
31;6101;Undirected
31;6371;Undirected
31;7715;Undirected
31;8320;Undirected
31;9056;Undirected
32;360;Undirected
32;411;Undirected
32;829;Undirected
32;1585;Undirected
32;1920;Undirected
32;2026;Undirected
32;2040;Undirected
32;2128;Undirected
32;2463;Undirected
32;2634;Undirected
32;3319;Undirected
32;5075;Undirected
32;5290;Undirected
32;5482;Undirected
32;5707;Undirected
32;5911;Undirected
32;5933;Undirected
32;6182;Undirected
32;7006;Undirected
32;7032;Undirected
32;7318;Undirected
32;7692;Undirected
32;7721;Undirected
32;8147;Undirected
32;8364;Undirected
32;9016;Undirected
32;9319;Undirected
32;9431;Undirected
32;9567;Undirected
32;9792;Undirected
33;706;Undirected
33;879;Undirected
33;1051;Undirected
33;1053;Undirected
33;1283;Undirected
33;2082;Undirected
33;2293;Undirected
33;2718;Undirected
33;3204;Undirected
33;3752;Undirected
33;3846;Undirected
33;5779;Undirected
33;5849;Undirected
33;5984;Undirected
33;6057;Undirected
33;8277;Undirected
33;9108;Undirected
33;9276;Undirected
33;9327;Undirected
33;9822;Undirected
34;137;Undirected
34;840;Undirected
34;985;Undirected
34;1320;Undirected
34;1559;Undirected
34;1605;Undirected
34;2016;Undirected
34;2307;Undirected
34;2569;Undirected
34;3576;Undirected
34;3962;Undirected
34;4294;Undirected
34;4785;Undirected
34;5123;Undirected
34;5943;Undirected
34;6175;Undirected
34;7108;Undirected
34;7114;Undirected
34;7709;Undirected
34;7968;Undirected
34;8068;Undirected
34;8252;Undirected
34;8292;Undirected
34;9070;Undirected
34;9225;Undirected
34;9340;Undirected
35;99;Undirected
35;2134;Undirected
35;4031;Undirected
35;4276;Undirected
35;4429;Undirected
35;5264;Undirected
35;5333;Undirected
35;5972;Undirected
35;8231;Undirected
35;8431;Undirected
35;8489;Undirected
35;8891;Undirected
35;9926;Undirected
35;9978;Undirected
36;868;Undirected
36;1144;Undirected
36;2052;Undirected
36;2394;Undirected
36;3136;Undirected
36;3952;Undirected
36;4182;Undirected
36;4686;Undirected
36;7743;Undirected
36;8615;Undirected
36;8959;Undirected
36;9120;Undirected
36;9143;Undirected
36;9700;Undirected
37;2346;Undirected
37;2527;Undirected
37;2585;Undirected
37;2586;Undirected
37;2931;Undirected
37;4393;Undirected
37;4971;Undirected
37;6331;Undirected
37;6876;Undirected
37;8871;Undirected
37;8971;Undirected
37;9448;Undirected
37;9593;Undirected
37;9685;Undirected
38;86;Undirected
38;107;Undirected
38;1671;Undirected
38;1711;Undirected
38;1959;Undirected
38;2224;Undirected
38;2480;Undirected
38;3508;Undirected
38;4030;Undirected
38;4185;Undirected
38;4345;Undirected
38;4947;Undirected
38;5775;Undirected
38;6242;Undirected
38;6379;Undirected
38;7329;Undirected
38;7815;Undirected
38;7839;Undirected
38;8731;Undirected
38;9173;Undirected
38;9365;Undirected
39;196;Undirected
39;2320;Undirected
39;2635;Undirected
39;4606;Undirected
39;4953;Undirected
39;5088;Undirected
39;5365;Undirected
39;6061;Undirected
39;6165;Undirected
39;6850;Undirected
39;6902;Undirected
39;6906;Undirected
39;7235;Undirected
39;8302;Undirected
39;8354;Undirected
39;8536;Undirected
39;8574;Undirected
39;9259;Undirected
39;9970;Undirected
40;212;Undirected
40;381;Undirected
40;418;Undirected
40;701;Undirected
40;764;Undirected
40;1265;Undirected
40;1602;Undirected
40;2374;Undirected
40;2538;Undirected
40;3754;Undirected
40;4574;Undirected
40;5074;Undirected
40;5118;Undirected
40;5411;Undirected
40;6024;Undirected
40;6047;Undirected
40;6494;Undirected
40;7066;Undirected
40;7147;Undirected
40;7337;Undirected
40;9695;Undirected
41;1315;Undirected
41;1523;Undirected
41;2567;Undirected
41;2878;Undirected
41;2898;Undirected
41;3637;Undirected
41;3734;Undirected
41;4854;Undirected
41;5013;Undirected
41;5834;Undirected
41;5868;Undirected
41;7569;Undirected
41;8989;Undirected
42;797;Undirected
42;1014;Undirected
42;2024;Undirected
42;2695;Undirected
42;3372;Undirected
42;4598;Undirected
42;5127;Undirected
42;5426;Undirected
42;5983;Undirected
42;6251;Undirected
42;6430;Undirected
42;7636;Undirected
42;9132;Undirected
43;273;Undirected
43;747;Undirected
43;912;Undirected
43;1709;Undirected
43;2863;Undirected
43;2975;Undirected
43;3494;Undirected
43;3582;Undirected
43;4000;Undirected
43;4915;Undirected
43;5236;Undirected
43;6650;Undirected
43;6773;Undirected
43;6774;Undirected
43;7887;Undirected
43;8040;Undirected
43;8135;Undirected
43;8388;Undirected
44;210;Undirected
44;256;Undirected
44;299;Undirected
44;1300;Undirected
44;1486;Undirected
44;1533;Undirected
44;2965;Undirected
44;3635;Undirected
44;3721;Undirected
44;4121;Undirected
44;4182;Undirected
44;4400;Undirected
44;4517;Undirected
44;5002;Undirected
44;5970;Undirected
44;6001;Undirected
44;6119;Undirected
44;6216;Undirected
44;6314;Undirected
44;6599;Undirected
44;7311;Undirected
44;7370;Undirected
44;8141;Undirected
44;8190;Undirected
44;8911;Undirected
44;9349;Undirected
45;70;Undirected
45;537;Undirected
45;910;Undirected
45;951;Undirected
45;1750;Undirected
45;1937;Undirected
45;2256;Undirected
45;2734;Undirected
45;3154;Undirected
45;3343;Undirected
45;3793;Undirected
45;4551;Undirected
45;6224;Undirected
45;8271;Undirected
45;8306;Undirected
45;9535;Undirected
45;9940;Undirected
46;72;Undirected
46;458;Undirected
46;2348;Undirected
46;3057;Undirected
46;3997;Undirected
46;4424;Undirected
46;4790;Undirected
46;5341;Undirected
46;6877;Undirected
46;7186;Undirected
46;7357;Undirected
46;7488;Undirected
46;8276;Undirected
46;9488;Undirected
47;202;Undirected
47;1048;Undirected
47;1511;Undirected
47;1582;Undirected
47;2401;Undirected
47;2441;Undirected
47;3989;Undirected
47;4103;Undirected
47;4642;Undirected
47;5209;Undirected
47;7385;Undirected
47;7539;Undirected
47;9873;Undirected
48;247;Undirected
48;721;Undirected
48;2662;Undirected
48;2895;Undirected
48;3009;Undirected
48;3544;Undirected
48;4219;Undirected
48;5204;Undirected
48;6263;Undirected
48;6370;Undirected
48;8058;Undirected
48;8673;Undirected
49;83;Undirected
49;873;Undirected
49;1252;Undirected
49;2318;Undirected
49;2518;Undirected
49;3689;Undirected
49;4111;Undirected
49;5454;Undirected
49;5715;Undirected
49;5847;Undirected
