Source;Target;Type
1;2;Undirected
1;3;Undirected
1;4;Undirected
2;3;Undirected
2;4;Undirected
3;4;Undirected
5;2;Undirected
5;4;Undirected
5;3;Undirected
6;5;Undirected
6;2;Undirected
6;1;Undirected
7;6;Undirected
7;5;Undirected
7;4;Undirected
8;3;Undirected
8;4;Undirected
8;6;Undirected
9;2;Undirected
9;3;Undirected
9;7;Undirected
10;5;Undirected
10;3;Undirected
10;6;Undirected
11;9;Undirected
11;4;Undirected
11;3;Undirected
12;4;Undirected
12;8;Undirected
12;6;Undirected
13;8;Undirected
13;3;Undirected
13;9;Undirected
14;9;Undirected
14;2;Undirected
14;13;Undirected
15;11;Undirected
15;13;Undirected
15;10;Undirected
16;10;Undirected
16;13;Undirected
16;3;Undirected
17;10;Undirected
17;7;Undirected
17;3;Undirected
18;12;Undirected
18;15;Undirected
18;16;Undirected
19;4;Undirected
19;10;Undirected
19;6;Undirected
20;8;Undirected
20;4;Undirected
20;1;Undirected
21;17;Undirected
21;11;Undirected
21;8;Undirected
22;6;Undirected
22;16;Undirected
22;19;Undirected
23;15;Undirected
23;17;Undirected
23;6;Undirected
24;16;Undirected
24;6;Undirected
24;18;Undirected
25;23;Undirected
25;16;Undirected
25;13;Undirected
26;11;Undirected
26;6;Undirected
26;19;Undirected
27;9;Undirected
27;24;Undirected
27;25;Undirected
28;3;Undirected
28;21;Undirected
28;25;Undirected
29;7;Undirected
29;25;Undirected
29;4;Undirected
30;16;Undirected
30;2;Undirected
30;6;Undirected
31;7;Undirected
31;17;Undirected
31;25;Undirected
32;16;Undirected
32;30;Undirected
32;14;Undirected
33;18;Undirected
33;19;Undirected
33;21;Undirected
34;14;Undirected
34;9;Undirected
34;27;Undirected
35;24;Undirected
35;18;Undirected
35;30;Undirected
36;5;Undirected
36;33;Undirected
36;35;Undirected
37;7;Undirected
37;34;Undirected
37;28;Undirected
38;2;Undirected
38;12;Undirected
38;4;Undirected
39;32;Undirected
39;7;Undirected
39;15;Undirected
40;10;Undirected
40;37;Undirected
40;25;Undirected
41;34;Undirected
41;7;Undirected
41;39;Undirected
42;12;Undirected
42;9;Undirected
42;5;Undirected
43;13;Undirected
43;23;Undirected
43;29;Undirected
44;26;Undirected
44;18;Undirected
44;19;Undirected
45;35;Undirected
45;6;Undirected
45;8;Undirected
46;3;Undirected
46;23;Undirected
46;45;Undirected
47;38;Undirected
47;6;Undirected
47;39;Undirected
48;2;Undirected
48;25;Undirected
48;11;Undirected
49;31;Undirected
49;47;Undirected
49;12;Undirected
50;30;Undirected
50;45;Undirected
50;26;Undirected
