Source;Target;Type
1;28;Undirected
1;88;Undirected
1;130;Undirected
1;154;Undirected
1;156;Undirected
1;187;Undirected
1;208;Undirected
1;209;Undirected
1;337;Undirected
1;389;Undirected
1;399;Undirected
1;424;Undirected
2;159;Undirected
2;168;Undirected
2;180;Undirected
2;251;Undirected
2;256;Undirected
2;293;Undirected
2;347;Undirected
2;400;Undirected
2;474;Undirected
3;83;Undirected
3;103;Undirected
3;144;Undirected
3;188;Undirected
3;209;Undirected
3;286;Undirected
3;301;Undirected
3;304;Undirected
3;404;Undirected
3;428;Undirected
3;457;Undirected
4;7;Undirected
4;33;Undirected
4;44;Undirected
4;162;Undirected
4;211;Undirected
4;224;Undirected
4;231;Undirected
4;233;Undirected
4;271;Undirected
4;274;Undirected
4;302;Undirected
4;323;Undirected
4;340;Undirected
4;373;Undirected
4;377;Undirected
5;35;Undirected
5;70;Undirected
5;174;Undirected
5;186;Undirected
5;222;Undirected
5;234;Undirected
5;246;Undirected
5;256;Undirected
5;298;Undirected
5;319;Undirected
5;462;Undirected
5;463;Undirected
5;487;Undirected
6;45;Undirected
6;83;Undirected
6;110;Undirected
6;137;Undirected
6;142;Undirected
6;243;Undirected
6;253;Undirected
6;310;Undirected
6;313;Undirected
6;392;Undirected
6;426;Undirected
6;456;Undirected
6;477;Undirected
6;493;Undirected
7;19;Undirected
7;58;Undirected
7;59;Undirected
7;69;Undirected
7;200;Undirected
7;270;Undirected
7;329;Undirected
8;28;Undirected
8;60;Undirected
8;73;Undirected
8;281;Undirected
8;326;Undirected
8;413;Undirected
8;488;Undirected
9;101;Undirected
9;143;Undirected
9;167;Undirected
9;189;Undirected
9;296;Undirected
9;305;Undirected
9;352;Undirected
9;382;Undirected
9;389;Undirected
9;482;Undirected
9;485;Undirected
10;102;Undirected
10;210;Undirected
10;350;Undirected
10;352;Undirected
10;359;Undirected
10;455;Undirected
11;15;Undirected
11;53;Undirected
11;105;Undirected
11;124;Undirected
11;134;Undirected
11;173;Undirected
11;212;Undirected
11;238;Undirected
11;273;Undirected
11;321;Undirected
11;328;Undirected
11;330;Undirected
11;365;Undirected
11;423;Undirected
11;447;Undirected
12;58;Undirected
12;97;Undirected
12;126;Undirected
12;185;Undirected
12;207;Undirected
12;305;Undirected
12;352;Undirected
12;387;Undirected
12;390;Undirected
12;471;Undirected
12;495;Undirected
13;22;Undirected
13;50;Undirected
13;208;Undirected
13;259;Undirected
13;271;Undirected
13;272;Undirected
13;308;Undirected
13;337;Undirected
13;391;Undirected
13;457;Undirected
14;19;Undirected
14;283;Undirected
14;300;Undirected
14;341;Undirected
15;21;Undirected
15;26;Undirected
15;83;Undirected
15;281;Undirected
15;296;Undirected
15;297;Undirected
15;320;Undirected
15;334;Undirected
15;346;Undirected
15;350;Undirected
15;363;Undirected
15;397;Undirected
15;448;Undirected
16;54;Undirected
16;65;Undirected
16;82;Undirected
16;123;Undirected
16;133;Undirected
16;146;Undirected
16;240;Undirected
16;315;Undirected
16;333;Undirected
16;380;Undirected
16;404;Undirected
16;482;Undirected
17;87;Undirected
17;172;Undirected
17;184;Undirected
17;190;Undirected
17;203;Undirected
17;207;Undirected
17;221;Undirected
17;318;Undirected
17;500;Undirected
18;56;Undirected
18;88;Undirected
18;191;Undirected
18;218;Undirected
18;224;Undirected
18;374;Undirected
18;495;Undirected
19;28;Undirected
19;74;Undirected
19;168;Undirected
19;214;Undirected
19;249;Undirected
19;253;Undirected
19;427;Undirected
19;444;Undirected
19;486;Undirected
20;120;Undirected
20;206;Undirected
20;224;Undirected
20;244;Undirected
20;379;Undirected
20;410;Undirected
20;416;Undirected
20;491;Undirected
21;48;Undirected
21;73;Undirected
21;90;Undirected
21;202;Undirected
21;372;Undirected
21;373;Undirected
21;377;Undirected
21;462;Undirected
22;97;Undirected
22;110;Undirected
22;421;Undirected
22;424;Undirected
22;425;Undirected
22;457;Undirected
23;104;Undirected
23;117;Undirected
23;222;Undirected
23;238;Undirected
23;417;Undirected
23;422;Undirected
23;446;Undirected
23;466;Undirected
24;90;Undirected
24;105;Undirected
24;238;Undirected
24;266;Undirected
24;356;Undirected
24;363;Undirected
24;387;Undirected
24;424;Undirected
24;478;Undirected
25;61;Undirected
25;80;Undirected
25;95;Undirected
25;134;Undirected
25;183;Undirected
25;241;Undirected
25;279;Undirected
25;318;Undirected
25;340;Undirected
25;345;Undirected
25;346;Undirected
25;415;Undirected
25;453;Undirected
25;471;Undirected
26;36;Undirected
26;121;Undirected
26;165;Undirected
26;169;Undirected
26;270;Undirected
26;271;Undirected
26;282;Undirected
26;462;Undirected
26;482;Undirected
26;497;Undirected
27;72;Undirected
27;93;Undirected
27;160;Undirected
27;174;Undirected
27;246;Undirected
27;417;Undirected
27;441;Undirected
27;452;Undirected
27;485;Undirected
28;30;Undirected
28;47;Undirected
28;83;Undirected
28;144;Undirected
28;186;Undirected
28;216;Undirected
28;242;Undirected
28;253;Undirected
28;269;Undirected
28;274;Undirected
28;278;Undirected
28;292;Undirected
28;300;Undirected
28;321;Undirected
28;409;Undirected
28;492;Undirected
29;75;Undirected
29;103;Undirected
29;138;Undirected
29;162;Undirected
29;190;Undirected
29;248;Undirected
29;250;Undirected
29;303;Undirected
29;350;Undirected
29;364;Undirected
29;370;Undirected
29;375;Undirected
29;453;Undirected
30;38;Undirected
30;68;Undirected
30;75;Undirected
30;87;Undirected
30;172;Undirected
30;221;Undirected
30;321;Undirected
30;326;Undirected
30;387;Undirected
30;400;Undirected
30;415;Undirected
31;98;Undirected
31;148;Undirected
31;159;Undirected
31;170;Undirected
31;325;Undirected
32;103;Undirected
32;187;Undirected
32;264;Undirected
32;406;Undirected
32;471;Undirected
33;58;Undirected
33;95;Undirected
33;112;Undirected
33;359;Undirected
33;386;Undirected
33;394;Undirected
33;408;Undirected
33;483;Undirected
34;35;Undirected
34;100;Undirected
34;140;Undirected
34;185;Undirected
34;196;Undirected
34;200;Undirected
34;205;Undirected
34;235;Undirected
34;247;Undirected
34;257;Undirected
34;307;Undirected
34;344;Undirected
34;347;Undirected
34;380;Undirected
34;437;Undirected
34;441;Undirected
34;444;Undirected
34;494;Undirected
35;43;Undirected
35;137;Undirected
35;301;Undirected
35;327;Undirected
35;407;Undirected
35;416;Undirected
35;438;Undirected
36;63;Undirected
36;74;Undirected
36;132;Undirected
36;198;Undirected
36;277;Undirected
36;311;Undirected
36;328;Undirected
36;379;Undirected
36;409;Undirected
36;443;Undirected
36;483;Undirected
36;498;Undirected
37;45;Undirected
37;88;Undirected
37;116;Undirected
37;139;Undirected
37;157;Undirected
37;171;Undirected
37;180;Undirected
37;191;Undirected
37;239;Undirected
37;250;Undirected
37;298;Undirected
37;326;Undirected
37;377;Undirected
37;392;Undirected
37;397;Undirected
37;422;Undirected
37;427;Undirected
38;129;Undirected
38;134;Undirected
38;194;Undirected
38;209;Undirected
38;236;Undirected
38;267;Undirected
38;283;Undirected
38;341;Undirected
38;403;Undirected
38;416;Undirected
38;450;Undirected
38;452;Undirected
39;153;Undirected
39;338;Undirected
39;372;Undirected
39;413;Undirected
39;428;Undirected
39;443;Undirected
40;49;Undirected
40;135;Undirected
40;144;Undirected
40;283;Undirected
40;384;Undirected
40;394;Undirected
40;420;Undirected
40;450;Undirected
41;72;Undirected
41;108;Undirected
41;131;Undirected
41;238;Undirected
41;394;Undirected
41;418;Undirected
41;435;Undirected
42;110;Undirected
42;141;Undirected
42;154;Undirected
42;242;Undirected
42;306;Undirected
42;357;Undirected
42;430;Undirected
42;478;Undirected
43;123;Undirected
43;234;Undirected
43;243;Undirected
43;288;Undirected
43;367;Undirected
43;372;Undirected
43;432;Undirected
43;461;Undirected
43;466;Undirected
44;55;Undirected
44;87;Undirected
44;91;Undirected
44;93;Undirected
44;176;Undirected
44;182;Undirected
44;234;Undirected
44;243;Undirected
44;307;Undirected
44;318;Undirected
44;395;Undirected
45;81;Undirected
45;140;Undirected
45;142;Undirected
45;143;Undirected
45;198;Undirected
45;257;Undirected
45;349;Undirected
45;443;Undirected
45;444;Undirected
45;451;Undirected
46;132;Undirected
46;160;Undirected
46;225;Undirected
46;227;Undirected
46;295;Undirected
46;334;Undirected
46;353;Undirected
46;409;Undirected
46;478;Undirected
47;56;Undirected
47;63;Undirected
47;180;Undirected
47;202;Undirected
47;251;Undirected
47;377;Undirected
47;390;Undirected
47;431;Undirected
47;455;Undirected
47;474;Undirected
47;496;Undirected
48;61;Undirected
48;69;Undirected
48;119;Undirected
48;256;Undirected
48;258;Undirected
48;265;Undirected
48;302;Undirected
48;318;Undirected
48;409;Undirected
48;484;Undirected
49;249;Undirected
49;258;Undirected
49;367;Undirected
49;372;Undirected
49;421;Undirected
49;430;Undirected
49;494;Undirected
50;115;Undirected
50;128;Undirected
50;159;Undirected
50;188;Undirected
50;274;Undirected
50;358;Undirected
50;363;Undirected
50;461;Undirected
50;462;Undirected
50;498;Undirected
51;54;Undirected
51;111;Undirected
51;134;Undirected
51;172;Undirected
51;217;Undirected
51;221;Undirected
51;350;Undirected
51;389;Undirected
51;422;Undirected
51;474;Undirected
51;475;Undirected
52;60;Undirected
52;71;Undirected
52;168;Undirected
