Source;Target;Type
1;2;Undirected
1;3;Undirected
1;4;Undirected
2;3;Undirected
2;4;Undirected
3;4;Undirected
5;2;Undirected
5;4;Undirected
5;3;Undirected
6;5;Undirected
6;4;Undirected
6;2;Undirected
7;5;Undirected
7;2;Undirected
7;4;Undirected
8;5;Undirected
8;6;Undirected
8;1;Undirected
9;7;Undirected
9;5;Undirected
9;2;Undirected
10;5;Undirected
10;1;Undirected
10;7;Undirected
11;10;Undirected
11;3;Undirected
11;8;Undirected
12;7;Undirected
12;11;Undirected
12;5;Undirected
13;7;Undirected
13;12;Undirected
13;1;Undirected
14;10;Undirected
14;1;Undirected
14;8;Undirected
15;10;Undirected
15;5;Undirected
15;11;Undirected
16;4;Undirected
16;9;Undirected
16;11;Undirected
17;8;Undirected
17;7;Undirected
17;14;Undirected
18;9;Undirected
18;8;Undirected
18;12;Undirected
19;13;Undirected
19;6;Undirected
19;18;Undirected
20;12;Undirected
20;4;Undirected
20;6;Undirected
