Source;Target;Type
1;2;Undirected
1;3;Undirected
1;4;Undirected
1;5;Undirected
2;3;Undirected
2;4;Undirected
2;5;Undirected
3;4;Undirected
3;5;Undirected
4;5;Undirected
6;5;Undirected
6;5;Undirected
6;3;Undirected
6;1;Undirected
7;4;Undirected
7;5;Undirected
7;5;Undirected
7;2;Undirected
8;7;Undirected
8;4;Undirected
8;5;Undirected
8;1;Undirected
9;3;Undirected
9;8;Undirected
9;9;Undirected
9;5;Undirected
10;10;Undirected
10;5;Undirected
10;10;Undirected
10;5;Undirected
11;10;Undirected
11;2;Undirected
11;4;Undirected
11;5;Undirected
12;6;Undirected
12;3;Undirected
12;8;Undirected
12;8;Undirected
13;2;Undirected
13;12;Undirected
13;12;Undirected
13;4;Undirected
14;2;Undirected
14;4;Undirected
14;8;Undirected
14;7;Undirected
15;11;Undirected
15;13;Undirected
15;5;Undirected
15;7;Undirected
16;8;Undirected
16;12;Undirected
16;3;Undirected
16;6;Undirected
17;5;Undirected
17;8;Undirected
17;11;Undirected
17;16;Undirected
18;14;Undirected
18;10;Undirected
18;9;Undirected
18;12;Undirected
19;17;Undirected
19;6;Undirected
19;3;Undirected
19;19;Undirected
20;10;Undirected
20;16;Undirected
20;5;Undirected
20;4;Undirected
21;12;Undirected
21;5;Undirected
21;5;Undirected
21;9;Undirected
22;6;Undirected
22;11;Undirected
22;1;Undirected
22;11;Undirected
23;15;Undirected
23;2;Undirected
23;19;Undirected
23;9;Undirected
24;7;Undirected
24;5;Undirected
24;10;Undirected
24;4;Undirected
25;3;Undirected
25;6;Undirected
25;19;Undirected
25;24;Undirected
26;11;Undirected
26;7;Undirected
26;11;Undirected
26;6;Undirected
27;25;Undirected
27;26;Undirected
27;15;Undirected
27;18;Undirected
28;26;Undirected
28;4;Undirected
28;20;Undirected
28;18;Undirected
29;21;Undirected
29;2;Undirected
29;1;Undirected
29;14;Undirected
30;15;Undirected
30;3;Undirected
30;13;Undirected
30;6;Undirected
31;6;Undirected
31;6;Undirected
31;16;Undirected
31;21;Undirected
32;30;Undirected
32;32;Undirected
32;29;Undirected
32;4;Undirected
33;18;Undirected
33;10;Undirected
33;6;Undirected
33;19;Undirected
34;3;Undirected
34;6;Undirected
34;33;Undirected
34;22;Undirected
35;13;Undirected
35;7;Undirected
35;25;Undirected
35;21;Undirected
36;7;Undirected
36;1;Undirected
36;10;Undirected
36;22;Undirected
37;23;Undirected
37;29;Undirected
37;35;Undirected
37;10;Undirected
38;8;Undirected
38;15;Undirected
38;19;Undirected
38;32;Undirected
39;35;Undirected
39;35;Undirected
39;28;Undirected
39;16;Undirected
40;14;Undirected
40;23;Undirected
40;27;Undirected
40;30;Undirected
