Source;Target;Type
1;2;Undirected
1;3;Undirected
1;4;Undirected
1;5;Undirected
2;3;Undirected
2;4;Undirected
2;5;Undirected
3;4;Undirected
3;5;Undirected
4;5;Undirected
6;2;Undirected
6;5;Undirected
6;3;Undirected
6;1;Undirected
7;4;Undirected
7;5;Undirected
7;3;Undirected
7;1;Undirected
8;6;Undirected
8;4;Undirected
8;5;Undirected
8;7;Undirected
9;3;Undirected
9;7;Undirected
9;2;Undirected
9;6;Undirected
10;1;Undirected
10;2;Undirected
10;6;Undirected
10;7;Undirected
11;8;Undirected
11;2;Undirected
11;3;Undirected
11;1;Undirected
12;8;Undirected
12;5;Undirected
12;11;Undirected
12;10;Undirected
13;2;Undirected
13;1;Undirected
13;9;Undirected
13;10;Undirected
14;11;Undirected
14;2;Undirected
14;6;Undirected
14;1;Undirected
15;2;Undirected
15;7;Undirected
15;9;Undirected
15;11;Undirected
16;5;Undirected
16;14;Undirected
16;8;Undirected
16;3;Undirected
17;6;Undirected
17;4;Undirected
17;15;Undirected
17;8;Undirected
18;4;Undirected
18;2;Undirected
18;12;Undirected
18;8;Undirected
19;18;Undirected
19;13;Undirected
19;17;Undirected
19;10;Undirected
20;4;Undirected
20;12;Undirected
20;16;Undirected
20;15;Undirected
21;18;Undirected
21;20;Undirected
21;7;Undirected
21;11;Undirected
22;13;Undirected
22;9;Undirected
22;2;Undirected
22;14;Undirected
23;15;Undirected
23;11;Undirected
23;4;Undirected
23;17;Undirected
24;17;Undirected
24;9;Undirected
24;4;Undirected
24;6;Undirected
25;21;Undirected
25;19;Undirected
25;14;Undirected
25;16;Undirected
26;17;Undirected
26;2;Undirected
26;16;Undirected
26;6;Undirected
27;9;Undirected
27;13;Undirected
27;21;Undirected
27;23;Undirected
28;23;Undirected
28;22;Undirected
28;24;Undirected
28;27;Undirected
29;20;Undirected
29;7;Undirected
29;16;Undirected
29;13;Undirected
30;21;Undirected
30;19;Undirected
30;13;Undirected
30;23;Undirected
31;3;Undirected
31;7;Undirected
31;6;Undirected
31;24;Undirected
32;27;Undirected
32;30;Undirected
32;1;Undirected
32;15;Undirected
33;12;Undirected
33;24;Undirected
33;31;Undirected
33;19;Undirected
34;33;Undirected
34;7;Undirected
34;15;Undirected
34;12;Undirected
35;16;Undirected
35;21;Undirected
35;25;Undirected
35;24;Undirected
36;19;Undirected
36;1;Undirected
36;8;Undirected
36;9;Undirected
37;4;Undirected
37;21;Undirected
37;17;Undirected
37;3;Undirected
38;11;Undirected
38;32;Undirected
38;22;Undirected
38;17;Undirected
39;15;Undirected
39;1;Undirected
39;14;Undirected
39;26;Undirected
40;9;Undirected
40;27;Undirected
40;21;Undirected
40;33;Undirected
41;29;Undirected
41;33;Undirected
41;19;Undirected
41;1;Undirected
42;34;Undirected
42;13;Undirected
42;27;Undirected
42;32;Undirected
43;24;Undirected
43;18;Undirected
43;14;Undirected
43;34;Undirected
44;9;Undirected
44;38;Undirected
44;14;Undirected
44;36;Undirected
45;25;Undirected
45;34;Undirected
45;13;Undirected
45;17;Undirected
46;26;Undirected
46;19;Undirected
46;30;Undirected
46;14;Undirected
47;4;Undirected
47;41;Undirected
47;35;Undirected
47;20;Undirected
48;22;Undirected
48;6;Undirected
48;39;Undirected
48;20;Undirected
49;4;Undirected
49;24;Undirected
49;44;Undirected
49;5;Undirected
50;43;Undirected
50;26;Undirected
50;1;Undirected
50;2;Undirected
