Source;Target;Type
1;343;Undirected
1;1482;Undirected
1;2431;Undirected
1;3142;Undirected
1;3365;Undirected
1;4103;Undirected
1;4366;Undirected
1;4514;Undirected
1;4969;Undirected
1;5012;Undirected
1;5857;Undirected
1;6241;Undirected
1;6309;Undirected
1;6775;Undirected
1;7245;Undirected
1;8140;Undirected
1;8295;Undirected
1;8382;Undirected
1;8673;Undirected
1;9013;Undirected
1;9282;Undirected
1;9482;Undirected
1;9578;Undirected
1;9794;Undirected
2;1458;Undirected
2;1549;Undirected
2;4448;Undirected
2;6328;Undirected
2;6614;Undirected
2;6695;Undirected
2;7455;Undirected
2;7505;Undirected
2;8571;Undirected
3;355;Undirected
3;832;Undirected
3;4848;Undirected
3;4906;Undirected
3;6332;Undirected
3;7544;Undirected
3;7764;Undirected
3;8652;Undirected
3;8666;Undirected
3;9390;Undirected
3;9522;Undirected
3;9952;Undirected
4;94;Undirected
4;217;Undirected
4;498;Undirected
4;2105;Undirected
4;2246;Undirected
4;3211;Undirected
4;3298;Undirected
4;3592;Undirected
4;4005;Undirected
4;4171;Undirected
4;4269;Undirected
4;5479;Undirected
4;8242;Undirected
4;9265;Undirected
4;9332;Undirected
4;9718;Undirected
4;9815;Undirected
4;9882;Undirected
5;134;Undirected
5;198;Undirected
5;258;Undirected
5;1586;Undirected
5;1649;Undirected
5;2130;Undirected
5;2800;Undirected
5;4585;Undirected
5;5346;Undirected
5;5984;Undirected
5;6476;Undirected
5;6692;Undirected
5;6962;Undirected
5;7884;Undirected
5;8084;Undirected
5;8231;Undirected
5;8952;Undirected
5;9107;Undirected
6;930;Undirected
6;1624;Undirected
6;1693;Undirected
6;1897;Undirected
6;1998;Undirected
6;2152;Undirected
6;3029;Undirected
6;3253;Undirected
6;3733;Undirected
6;4525;Undirected
6;6121;Undirected
6;6408;Undirected
6;8943;Undirected
6;9287;Undirected
7;171;Undirected
7;789;Undirected
7;2516;Undirected
7;3315;Undirected
7;3712;Undirected
7;3838;Undirected
7;4097;Undirected
7;4277;Undirected
7;4918;Undirected
7;5009;Undirected
7;5342;Undirected
7;5388;Undirected
7;5440;Undirected
7;8181;Undirected
8;66;Undirected
8;1269;Undirected
8;1306;Undirected
8;1339;Undirected
8;1856;Undirected
8;2138;Undirected
8;3304;Undirected
8;4298;Undirected
8;4675;Undirected
8;5431;Undirected
8;5855;Undirected
8;6371;Undirected
8;6494;Undirected
8;7216;Undirected
8;9598;Undirected
9;1230;Undirected
9;1742;Undirected
9;2193;Undirected
9;2586;Undirected
9;2618;Undirected
9;4101;Undirected
9;5184;Undirected
9;5848;Undirected
9;6206;Undirected
9;7847;Undirected
9;7950;Undirected
9;8916;Undirected
9;9087;Undirected
9;9126;Undirected
9;9718;Undirected
9;9861;Undirected
10;317;Undirected
10;449;Undirected
10;2489;Undirected
10;2673;Undirected
10;3195;Undirected
10;4205;Undirected
10;4407;Undirected
10;4874;Undirected
10;4980;Undirected
10;5251;Undirected
10;5724;Undirected
10;9122;Undirected
10;9288;Undirected
10;9489;Undirected
10;9533;Undirected
10;9765;Undirected
11;635;Undirected
11;1384;Undirected
11;3527;Undirected
11;3723;Undirected
11;3884;Undirected
11;4131;Undirected
11;4150;Undirected
11;4181;Undirected
11;4230;Undirected
11;4240;Undirected
11;4317;Undirected
11;5193;Undirected
11;5411;Undirected
11;5539;Undirected
11;5841;Undirected
11;6120;Undirected
11;8973;Undirected
11;9917;Undirected
12;2510;Undirected
12;2949;Undirected
12;3646;Undirected
12;5196;Undirected
12;5302;Undirected
12;5682;Undirected
12;5935;Undirected
12;5951;Undirected
12;6379;Undirected
12;6477;Undirected
12;7373;Undirected
12;7758;Undirected
12;7985;Undirected
12;8734;Undirected
12;9976;Undirected
13;45;Undirected
13;54;Undirected
13;266;Undirected
13;761;Undirected
13;990;Undirected
13;1214;Undirected
13;1305;Undirected
13;2737;Undirected
13;2898;Undirected
13;2995;Undirected
13;3354;Undirected
13;3530;Undirected
13;3684;Undirected
13;3835;Undirected
13;4302;Undirected
13;5394;Undirected
13;6277;Undirected
13;7300;Undirected
13;7371;Undirected
13;7928;Undirected
13;8281;Undirected
13;8660;Undirected
13;9229;Undirected
14;652;Undirected
14;1225;Undirected
14;1456;Undirected
14;2890;Undirected
14;4115;Undirected
14;4265;Undirected
14;4621;Undirected
14;5346;Undirected
14;5524;Undirected
14;6147;Undirected
14;6419;Undirected
14;7844;Undirected
14;8364;Undirected
14;8640;Undirected
14;9268;Undirected
14;9491;Undirected
14;9782;Undirected
14;9869;Undirected
15;343;Undirected
15;2168;Undirected
15;2343;Undirected
15;2449;Undirected
15;2718;Undirected
15;3606;Undirected
15;4128;Undirected
15;4760;Undirected
15;5304;Undirected
15;5608;Undirected
15;6301;Undirected
