Source;Target;Label;Type
1;1008;Kristy Swanson;Undirected
1;2344;Kristy Swanson;Undirected
1008;2344;Kristy Swanson;Undirected
1;1781;Rutger Hauer;Undirected
1;1869;Rutger Hauer;Undirected
1;2214;Rutger Hauer;Undirected
1;2227;Rutger Hauer;Undirected
1;2438;Rutger Hauer;Undirected
1781;1869;Rutger Hauer;Undirected
1781;2214;Rutger Hauer;Undirected
1781;2227;Rutger Hauer;Undirected
1781;2438;Rutger Hauer;Undirected
1869;2214;Rutger Hauer;Undirected
1869;2227;Rutger Hauer;Undirected
1869;2438;Rutger Hauer;Undirected
2214;2227;Rutger Hauer;Undirected
2214;2438;Rutger Hauer;Undirected
2227;2438;Rutger Hauer;Undirected
1;1255;Paul Reubens;Undirected
1;2162;Paul Reubens;Undirected
1;278;Paul Reubens;Undirected
1;887;Paul Reubens;Undirected
1255;2162;Paul Reubens;Undirected
1255;278;Paul Reubens;Undirected
1255;887;Paul Reubens;Undirected
2162;278;Paul Reubens;Undirected
2162;887;Paul Reubens;Undirected
278;887;Paul Reubens;Undirected
1;10;Donald Sutherland;Undirected
1;1125;Donald Sutherland;Undirected
1;1343;Donald Sutherland;Undirected
1;1577;Donald Sutherland;Undirected
1;1585;Donald Sutherland;Undirected
1;1623;Donald Sutherland;Undirected
1;165;Donald Sutherland;Undirected
1;196;Donald Sutherland;Undirected
1;1972;Donald Sutherland;Undirected
1;2370;Donald Sutherland;Undirected
1;45;Donald Sutherland;Undirected
1;754;Donald Sutherland;Undirected
1;945;Donald Sutherland;Undirected
10;1125;Donald Sutherland;Undirected
10;1343;Donald Sutherland;Undirected
10;1577;Donald Sutherland;Undirected
10;1585;Donald Sutherland;Undirected
10;1623;Donald Sutherland;Undirected
10;165;Donald Sutherland;Undirected
10;196;Donald Sutherland;Undirected
10;1972;Donald Sutherland;Undirected
10;2370;Donald Sutherland;Undirected
10;45;Donald Sutherland;Undirected
10;754;Donald Sutherland;Undirected
10;945;Donald Sutherland;Undirected
1125;1343;Donald Sutherland;Undirected
1125;1577;Donald Sutherland;Undirected
1125;1585;Donald Sutherland;Undirected
1125;1623;Donald Sutherland;Undirected
1125;165;Donald Sutherland;Undirected
1125;196;Donald Sutherland;Undirected
1125;1972;Donald Sutherland;Undirected
1125;2370;Donald Sutherland;Undirected
1125;45;Donald Sutherland;Undirected
1125;754;Donald Sutherland;Undirected
1125;945;Donald Sutherland;Undirected
1343;1577;Donald Sutherland;Undirected
1343;1585;Donald Sutherland;Undirected
1343;1623;Donald Sutherland;Undirected
1343;165;Donald Sutherland;Undirected
1343;196;Donald Sutherland;Undirected
1343;1972;Donald Sutherland;Undirected
1343;2370;Donald Sutherland;Undirected
1343;45;Donald Sutherland;Undirected
1343;754;Donald Sutherland;Undirected
1343;945;Donald Sutherland;Undirected
1577;1585;Donald Sutherland;Undirected
1577;1623;Donald Sutherland;Undirected
1577;165;Donald Sutherland;Undirected
1577;196;Donald Sutherland;Undirected
1577;1972;Donald Sutherland;Undirected
1577;2370;Donald Sutherland;Undirected
1577;45;Donald Sutherland;Undirected
1577;754;Donald Sutherland;Undirected
1577;945;Donald Sutherland;Undirected
1585;1623;Donald Sutherland;Undirected
1585;165;Donald Sutherland;Undirected
1585;196;Donald Sutherland;Undirected
1585;1972;Donald Sutherland;Undirected
1585;2370;Donald Sutherland;Undirected
1585;45;Donald Sutherland;Undirected
1585;754;Donald Sutherland;Undirected
1585;945;Donald Sutherland;Undirected
1623;165;Donald Sutherland;Undirected
1623;196;Donald Sutherland;Undirected
1623;1972;Donald Sutherland;Undirected
1623;2370;Donald Sutherland;Undirected
1623;45;Donald Sutherland;Undirected
1623;754;Donald Sutherland;Undirected
1623;945;Donald Sutherland;Undirected
165;196;Donald Sutherland;Undirected
165;1972;Donald Sutherland;Undirected
165;2370;Donald Sutherland;Undirected
165;45;Donald Sutherland;Undirected
165;754;Donald Sutherland;Undirected
165;945;Donald Sutherland;Undirected
