id;Label;
10;Peter O'Toole;
10001;George Siegmann;
10008;VÃ©ra Clouzot;
10010;Gerald Sim;
10016;Robert Oliveri;
10017;John Archer;
10021;Elya Baskin;
10029;Raf Vallone;
1003;Charles Cooper;
10038;David (Dai) Bradley;
1008;Mark Everett;
1009;James Hampton;
10117;J.C. Quinn;
10124;Laura Harrington;
10130;Steven Waddington;
10137;J. Farrell MacDonald;
10144;MarÃ­lia PÃªra;
10148;John Rothman;
10158;Maj-Britt Nilsson;
10162;Tito Larriva;
10163;Holly Aird;
10177;Nicholas Bell;
10179;Frank Shannon;
10190;Howard St. John;
10191;Minta Durfee;
1020;StanisÅaw Tym;
1021;Bill Allen;
10229;Carole Davis;
10231;Ariadna Gil;
10246;Walter Connolly;
1026;Matt O'Leary;
10268;John Franklyn-Robbins;
10271;Harry Bellaver;
10285;Harley Quinn Smith;
10296;Irina Demick;
10299;Roseanne Barr;
10332;Richard B. Shull;
10336;Lynn Collins;
10361;Lewis Abernathy;
10362;Nicholas Cascone;
10373;Butch Helemano;
10374;Gregory Sporleder;
10375;Terry Ahue;
10376;Pete Johnson;
10377;Brian Keaulana;
10378;Kala Alexander;
10379;John John Florence;
10380;Beate Antares;
1040;Taraji P. Henson;
10428;Yul Vasquez;
1044;MaÅgorzata Foremniak;
10450;Konstantin Shayne;
10451;Vaughn Taylor;
10480;Sean Sullivan;
10481;Frank A. Miller;
1049;Richard T. Jones;
10496;Sharon Kelly;
105;Devon;
10500;Jane Holzer;
10509;Felipe de Alba;
1051;Robert D. Raiford;
10511;Josef Sommer;
10513;Cesare Danova;
10527;Harry Wilson;
10533;Alice Howell;
10534;Deborah Theaker;
10535;Otis Harlan;
10536;Doris Belack;
10540;Sean Whalen;
10542;Bobby Di Cicco;
10546;Arthur Burghardt;
10550;Ninetto Davoli;
10560;Jenny Runacre;
10573;Ben Bard;
10583;Richard Paul;
10590;Pepe Serna;
10598;Madlaine Traverse;
106;Robert Taylor;
10606;Suzanne Snyder;
10643;Bill Tung;
10646;Susan George;
10648;Roger Ashton-Griffiths;
10656;Marshall Napier;
10657;Brian Kerwin;
10667;Tom Everett;
10668;Cylk Cozart;
10673;Tristine Skyler;
10676;Shefali Shah;
1068;Jermaine 'Huggy' Hopkins;
10685;Kevin Chamberlin;
10686;Stuart Lancaster;
10699;Jocelyn Quivrin;
107;Annette O'Toole;
10701;Moon Lee;
1073;Daniel Greene;
10751;Arthur J. Nascarella;
10760;June Travis;
10766;Maria Schrader;
10768;Lee Garlington;
10776;Kenneth McMillan;
10796;Del Negro;
10813;Ruy Guerra;
10815;Amala;
10830;Peter Ronson;
10842;Jackie Hoffman;
10844;Sushma Seth;
1085;Guy Boyd;
10853;Claudio Santamaria;
1087;Geraldine Brooks;
10874;Vladimir Mashkov;
10876;Lester Matthews;
10901;James Daughton;
10905;Claudia Gerini;
1092;Howard C. Hickman;
10928;Germain Houde;
1096;"Timothy ""Speed"" Levitch";
10963;Dean Andrews;
10978;Bryan Dick;
10983;Santhana Bharathi;
10985;Phellipe Haagensen;
1099;Jeff Morrow;
110;John C. McGinley;
11029;Peter Michael Goetz;
11038;Amanda Sandrelli;
11043;Juliane KÃ¶hler;
11045;Mary Kate Schellhardt;
11058;Michael Dolan;
11063;Ulla Jacobsson;
11067;Dennis Dun;
11076;Silvio Orlando;
11081;Richard Bennett;
11083;Bodil Kjer;
11089;Emil Minty;
11097;Mirjana JokoviÄ;
111;Donald O'Connor;
11106;Zach Grenier;
11109;Indus Arthur;
11115;Philip Chan;
11120;Baby LeRoy;
11127;Diane McBain;
11152;Terry Chen;
11153;Charles Vanel;
1116;Michael Byrne;
11178;Nora Swinburne;
11180;J.E. Freeman;
11189;John Aylward;
11190;Alan Joyce;
11196;RenÃ©e Humphrey;
11197;Bob Steele;
11203;Lea Massari;
1121;Josh Zuckerman;
11226;Mark Bringelson;
11262;Erwin Biswanger;
11264;Douglas McFerran;
11268;A. Edward Sutherland;
11270;John Stuart;
11271;Ivor Barry;
11272;Joe Keaton;
11285;Dave Sharpe;
11308;Pamela Hart;
11309;Samia Shoaib;
1131;Robert O. Cornthwaite;
11312;Bud Jamison;
11321;Edmond Van DaÃ«le;
1138;Patrick O'Neal;
1141;George Wallace;
1142;Karen Young;
11473;William Elmer;
11474;Paul Blake;
11475;Nigel De Brulier;
115;Edward Fox;
1150;Peter Lindgren;
11504;Don Barclay;
11538;Jack Curtis;
1154;Hilmir SnÃ¦r GuÃ°nason;
11587;LÃ©on Bary;
11596;John Miljan;
11602;Doris Lloyd;
11614;Warner Richmond;
11626;Richard Tucker;
11628;James Neill;
11629;James A. Marcus;
1165;A. J. Johnson;
11658;Theodore Lorch;
11667;Herschel Mayall;
11670;Mercedes Gilbert;
11673;Charles Judels;
1168;Olga SchoberovÃ¡;
11682;Mitchell Lewis;
11684;Gino Corrado;
1169;Larry B. Scott;
11696;Alan Roscoe;
11698;Holmes Herbert;
117;George Hamilton;
11723;John St. Polis;
11726;Joan Standing;
11728;Dale Fuller;
11745;Alfred Abel;
1175;T. K. Carter;
11751;Robert Emmett O'Connor;
11755;Ferdinand Martini;
1176;Silas Weir Mitchell;
11762;Gordon Harker;
11763;Tom Helmore;
11764;Jameson Thomas;
1178;Keith Robinson;
11789;Dorothy Gulliver;
118;Steve Jones;
11817;Peggy Roeder;
11826;John Watson Sr.;
11844;Chet Dubowski;
1187;Matt K. Miller;
11937;Sylvia Ashton;
11948;George Fisher;
11957;Frances Dade;
11996;Nella Walker;
12020;Tom McGuire;
12024;Jack Polick;
12030;Berenice Bejo;
12031;Scott Handy;
12032;Leagh Conwell;
12033;Steve OâDonnell;
12034;Jonathan Slinger;
12035;Karel Dobry;
12036;Mathew Mills;
12037;Daniel Rous;
12038;Vladimir Kulhavy;
12039;David Schneider;
12040;Rudolf Kubik;
12041;David Fisher;
12042;David Sterne;
12043;Alice Vese;
12044;Howie Lotker;
12046;Candy Brown Houston;
12047;A.J. Johnson;
12048;Kareem Grimes;
12049;Tracey Cherelle Jones;
1205;Chris Williams;
12050;Kylan Bolton;
12051;Kaylan Bolton;
12052;Freez Luv;
12053;Juanita Jennings;
12054;Liris Crosse;
12055;Mario William Jackson;
12057;Selma Mcpherson;
12058;Asondra Hunter;
12059;Tawny Dahl;
12060;Alex Wright;
12061;Serese Teate;
12062;Olan Thompson;
12063;Dejuan Guy;
12064;Deon Gregory;
12065;Roma Alvarez;
12066;Limary Agosto;
12067;Amentha Dymally;
12068;Cleopatra Singleton;
12069;Sheila L. Ward;
12070;Jamaica Carter;
12071;Frederick Ricks;
