Id;Label
1;Buffy the Vampire Slayer
10;Final Fantasy: The Spirits Within
100;Disraeli
1000;Akagi
1002;ÃÃÃHOLiC
1003;TaiyÅ o Nusunda Otoko
1004;Chance
1005;The Order
1006;Guinea Pig
1008;Big Daddy
1009;Suicide Six
101;Captain Blood
1010;Ice Station Zebra
1011;Sylvia
1012;Slacker
1013;Dazed and Confused
1014;Serenity
1015;Hearts of Darkness: A Filmmakers's Apocalypse
1016;Afterglow
1017;Glory
1018;Heaven
1019;The Poseidon Adventure
102;The Informer
1020;Vacation
1021;Dolls
1023;Buckminster Fuller: Thinking Out Loud
1024;Earthquake
1025;The Return of the King
1026;The Hobbit
1027;King Kong
1028;The Raven
1029;Primary
103;Les MisÃ©rables
1030;Piccadilly
1031;Bottle Rocket
1032;Broken Arrow
1033;Tombstone
1034;Hidalgo
1035;Man on Fire
1036;The Mission
1037;Scott of the Antarctic
1038;You're Under Arrest
1039;Cannibal! The Musical
104;Personal History, Adventures, Experience, and Observation of David Copperfield the Younger
1040;Ed Wood
1041;Diamond Head
1042;Frequency
1043;Macbeth
1044;Cat's Eye
1045;Night Shift
1046;Child's Play 3
1047;Child's Play
1048;Child's Play 2
1049;The War of the Worlds
105;Top Hat
1050;War of the Worlds
1051;Firestarter
1052;Bloodsport
1053;The Talented Mr. Ripley
1054;Roustabout
1055;Honey
1056;Ace Ventura: When Nature Calls
1057;Lorenzo's Oil
1058;Dawn of the Dead
1059;Go
106;A Tale of Two Cities
1060;The Games
1061;Cabin Fever
1062;Boys Don't Cry
1063;Beaches
1064;Speak
1065;Volcano
1066;The Big Chill
1067;The One
1068;St. Louis Blues
1069;Starsky & Hutch
107;Lost Horizon
1070;Barbershop 2: Back in Business
1071;Dogfight
1072;Demolition Man
1073;Possession
1074;Carnal Knowledge
1075;Police Academy
1076;The Gospel of John
1077;Rapid Fire
1078;The Fly
1079;Poison Ivy
108;Sunrise
1080;Robin Hood: Men in Tights
1081;Rangeela
1082;Garden State
1083;Sonic the Hedgehog: The Movie
1084;Stripes
1085;Dirty Work
1086;What's the Worst That Could Happen?
1087;The Wizard of Oz
1088;Bus Stop
1089;Hopscotch
109;The Adventures of Robin Hood
1090;Blondie
1091;I, Robot
1092;And God Created Woman
1093;The Princess Diaries
1094;Lost in Space
1095;Death and the Maiden
1096;Journey to the Center of the Earth
1097;The Stranger
1098;Jersey Girl
1099;Dune
11;Godzilla vs. the Sea Monster
110;Alexander's Ragtime Band
1100;Romance
1101;Ghidorah, the Three-Headed Monster
1102;The Gallopin' Gaucho
1103;Down to Earth
1104;Kolchak: The Night Stalker
1105;Exorcist II: The Heretic
1107;Babe: Pig in the City
1108;Roxanne
1109;Alien Nation
111;Grand Illusion
1110;Cousins
1111;Don't Tell Mom the Babysitter's Dead
1112;Pay It Forward
1113;Singles
1114;Khabi Khushi Kabhi Gham
1115;Rambo: First Blood Part II
1116;Limelight
1117;Rogue Trader
1118;Steamboat Bill Jr.
1119;Go
112;Test Pilot
1120;The Getaway
1121;Sleeper
1122;Audition
1123;Sex
1124;Tales from the Darkside: The Movie
1125;Backdraft
1126;Lake Placid
1127;The Pillow Book
1128;The Rehearsal
1129;Kate & Leopold
113;Of Mice and Men
1130;Walkabout
1131;Fear
1132;Moulin Rouge
1133;Name of the Rose
1134;Sinkin' in the Bathtub
1135;Good Boy!
1136;The Thin Blue Line
1138;Fahrenheit 9/11
1139;Mary of Scotland
114;Stagecoach
1140;The 'Burbs
1141;Manhunter
1142;Flight
1143;Who's Harry Crumb?
1144;The Nanny
1145;Pilgrim
1146;The Beast
1147;The Doors
1148;Nadia: The Secret of Blue Water
1149;Them!
115;Alice in Wonderland
1150;Akira
1151;A Day at the Races
1152;Buster
1153;New York: A Documentary Film
1154;Speed
1155;St. Elmo's Fire
1156;Cocktail
1157;Whiteout
1158;The Funeral
1159;The Funeral
116;Foreign Correspondent
1160;New Rose Hotel
1161;Wizards
1162;If...
1163;Secrets & Lies
1164;After Hours
1165;Win a Date with Tad Hamilton!
1166;Divine Intervention
1167;Kids
1168;Hatred
1169;Kiss of Death
117;Day of the Dead
1170;Kiss of Death
1171;Hooper
1172;Rapunzel
1173;The Big One
1174;Of Mice and Men
1175;Hannibal
1176;Spalding Gray: Terrors of Pleasure
1177;Fallen Angels
1178;The Big Kahuna
1179;Tuck Everlasting
118;Apt Pupil
1180;Oliver Twist
1181;London After Midnight
1182;Helter Skelter
1183;X
1184;Hard Eight
1185;L'Homme de Rio
1186;Grand Theft Auto
1187;Scum
1188;Vai viegli bÅ«t jaunam?
1189;Ciao! Manhattan
119;Lenny
1190;The Avengers
1191;The Contender
1192;Silver Streak
1193;Dirty Pretty Things
1194;Hart's War
1195;Bad Company
1196;F.I.S.T
1197;Monty Roberts: A Real Horse Whisperer
1198;The Hindenburg
1199;Fame
12;Godzilla
1200;Desperado
1201;10.5
1202;Commissar
1203;Frankenstein's Daughter
1204;Blood from the Mummy's Tomb
1205;Storm of the Century
1206;Beethoven's 2nd
1207;Beethoven's 3rd
1208;Beethoven's 4th
1209;The River
121;A Knight's Tale
1210;The Kingdom
1211;Python
1212;Alive
1213;Nirvana
1214;Dragon: The Bruce Lee Story
1215;Face/Off
1216;Carmen: A Hip Hopera
1217;Dracula: Dead and Loving It
1218;Dracula
1219;Mr. Nanny
122;Schindler's List
1220;Mr. Nice Guy
1221;Snake in the Eagle's Shadow
1222;Armour of God II: Operation Condor
1223;Jimmy Neutron: Boy Genius
