Kristy Swanson,1,1008,2344;
Luke Perry,1;
Rutger Hauer,1,1781,1869,2214,2227,2438;
Paul Reubens,1,1255,2162,278,887;
Donald Sutherland,1,10,1125,1343,1577,1585,1623,165,196,1972,2370,45,754,945;
Ming-Na,10,2152;
John DeMita,10,364,992;
Peri Gilpin,10,2027;
Matt McKenzie,10;
Alec Baldwin,10,2515,290,485,968;
James Woods,10,1044,1290,1692,416,435,446,450,874;
Ving Rhames,10,1058,1283,1327,385,415,679,709,77,927,997;
Steve Buscemi,10,1008,1124,1200,1299,1842,339,657,74,77,79;
David Rasner,10;
Jean Simmons,10,255,424;
Keith David,10,1065,2266,319,34,416,56,677,74,829;
Joan Bennett,100,257;
David Torrence,100;
George Arliss,100;
Doris Lloyd,100,1388;
Bunta Sugawara,1003;
Kenji Sawada,1003,1843;
Kojiro Kusanagi,1003;
James Marsters,1004;
Andy Hallett,1004;
Christine Estabrook,1004;
Amber Benson,1004,2197;
Benno FÃ¼rmann,1005,2167;
Peter Weller,1005,1748,729;
Mark Addy,1005,121;
Heath Ledger,1005,121,1303,2348,98;
Shannyn Sossamon,1005,121,2369;
Rob Schneider,1008,1320,706;
Adam Sandler,1008,1085,1749,1910,2159,953;
Dylan and Cole Sprouse,1008;
Joseph Bologna,1008;
Allen Covert,1008,953;
Josh Mostel,1008;
Peter Dante,1008;
Joey Lauren Adams,1008,1013,1234;
Leslie Mann,1008,899;
Jon Stewart,1008,2405;
Olivia de Havilland,101,109,2292,270,493;
Ross Alexander,101;
Errol Flynn,101,109,1630,1681,270;
Basil Rathbone,101,104,109,1866;
Jim Brown,1010,2555,933;
Ernest Borgnine,1010,1019,2413,2522;
Patrick McGoohan,1010,1192;
Rock Hudson,1010,2119,276,521;
Gwyneth Paltrow,1011,1053,1073,1184,1693,366,905;
Jared Harris,1011,1425,2027;
Amira Casar,1011;
Daniel Craig,1011,1615,1807,1932,2274,341,64,694;
Michael Gambon,1011,1238,1239,1246,1501,1807,343,80,999;
Blythe Danner,1011,1395,1521,1617,1859,968;
Richard Linklater,1012;
Brecht Andersch,1012;
Scott Marcus,1012;
Dan Kratochvil,1012;
Teresa Taylor,1012;
Jerry Delony,1012;
Sasha Jenson,1013;
Marissa Ribisi,1013,2197;
Michelle Burke,1013;
Wiley Wiggins,1013;
Nicky Katt,1013,1140,1306,1465,1709,2002,2227;
Matthew McConaughey,1013,1783,1905,2505,38,414,870,874;
Adam Goldberg,1013;
Ben Affleck,1013,1098,1465,1938,285,290,74;
Milla Jovovich,1013,1425,1787,1939,446;
Anthony Rapp,1013,2486;
Parker Posey,1013,1372,1937,295,391;
Jason London,1013,1521,169,2327;
Cole Hauser,1013,1194,1933;
Rory Cochrane,1013;
Alan Tudyk,1014,1091,121,1317;
Adam Baldwin,1014,1847;
Sean Maher,1014;
Nathan Fillion,1014;
Gina Torres,1014;
Summer Glau,1014;
Morena Baccarin,1014;
Chiwetel Ejiofor,1014,1193,870;
Jewel Staite,1014;
David Krumholtz,1014,2027;
Ron Glass,1014;
Eleanor Coppola,1015;
Robert Duvall,1015,1376,1536,1585,2298,299,690;
Sam Bottoms,1015,907;
Marlon Brando,1015,2145,386,746,802;
Harrison Ford,1015,1253,1484,2020,2278,261,51,602,68,75,76;
George Lucas,1015,78;
Sofia Coppola,1015,329,713;
Francis Ford Coppola,1015;
Martin Sheen,1015,134,1893,1958,2107,2267,2353,2496,651,810,84,922;
Harvey Keitel,1015,1296,1298,1749,38,543,574,693,77;
Laurence Fishburne,1015,1682,2355,447,713,942;
Dennis Hopper,1015,129,1293,155,1761,2438,289,547;
Lara Flynn Boyle,1016,1508,1793,245,2474,266;
Julie Christie,1016,139,1498,2370,280,296,303,756;
Nick Nolte,1016,1057,1818,342,442,453,856;
John Finn,1017;
Matthew Broderick,1017,1135,1274,1315,1693,2023,2102,266,728,752,826;
Denzel Washington,1017,1035,1262,1374,1556,1646,1972,2206,317,454,715,956;
Andre Braugher,1017,1042,1822;
Cliff DeYoung,1017,2177;
Morgan Freeman,1017,1050,1343,1992,2017,2084,2324,2468,2478,654,690,820,870;
Cary Elwes,1017,1080,1334,1771,1811,1992,2412,36,484,719,771;
Giovanni Ribisi,1018,1465,1536,2201,2347,302,811,945;
Cate Blanchett,1018,1053,1773,2201,2386,341,463,464,465;
Gene Hackman,1019,1265,1340,136,1453,1539,1618,2206,2253,293,554,698,802,857,914;
Shelley Winters,1019,1635,1770,198,2471,565,621,798,998;
Stella Stevens,1019;
Pamela Sue Martin,1019;
Dave Sharpe,1019;
Arthur O'Connell,1019,1088;
Jack Albertson,1019,2317,468;
Carol Lynley,1019;
Leslie Nielsen,1019,1217,1610,62;
Red Buttons,1019,114,1227,2237,548,560,798;
Roddy McDowall,1019,1025,1785,203,2047,240,548,943;
Una O'Connor,102;
Heather Angel,102,1388,1584,1700,661,680;
Margot Grahame,102;
Preston Foster,102,140;
Victor McLaglen,102;
Wallace Ford,102,2548;
Anthony Michael Hall,1020,1426,614;
Randy Quaid,1020,1820,1922,1982,2341,304,73;
Chevy Chase,1020,1085,1571,1922,2005,305,899;
Dana Barron,1020,1211;
Beverly D'Angelo,1020,1365,1922,311;
Imogene Coca,1020,2429;
Miriam Flynn,1020,1922,337;
Jane Krakowski,1020,1119,1879;
Hidetoshi Nishijima,1021;
Miho Kanno,1021;
Barry Sullivan,1024,130,2063;
Marjoe Gortner,1024;
GeneviÃ¨ve Bujold,1024,1320,1456,1832,2281;
Charlton Heston,1024,1041,1412,1671,1917,2029,203,2245,225,296;
George Kennedy,1024,1241,1610,1625,1856,292,909,933;
Ava Gardner,1024,218,305;
Richard Roundtree,1024,1687,1973,215,2389,2457,565;
Lorne Greene,1024;
Victoria Principal,1024;
Walter Matthau,1024,1089,1658,2145,323,45,949;
Lloyd Nolan,1024,1552;
William Conrad,1025,2488,305;
Brother Theodore,1025,1026;
Orson Bean,1025;
Theodore Bikel,1025,520;
John Huston,1025,1026,133,1437,2145;
Otto Preminger,1026;
Rick Baker,1027;
Jessica Lange,1027,1301,1389,1390,1392,1673,2431,442;
Jeff Bridges,1027,1191,1281,2304,2307,277,430,445,628,741,742,9,907;
Charles Grodin,1027,1206,1499,1581,303,718,787;
Jack O'Halloran,1027,802;
Olive Sturgess,1028;
Hazel Court,1028;
Aaron Saxon,1028;
Jack Nicholson,1028,1074,1267,1270,1282,133,155,2,2014,2079,2273,318,326,549,866,953;
Connie Wallace,1028;
Peter Lorre,1028,125,1414,1944,2525,358,81;
Boris Karloff,1028,137,162,1738,182,212,646;
William Baskin,1028;
Vincent Price,1028,1078,1400,1669,183,1921,2195,244,305,990;
Fredric March,103,1139,356,933,94;
Charles Laughton,103,305,424,631,848;
Rochelle Hudson,103,1134;
Cedric Hardwicke,103,1400,194,199,2251,476,848;
Gilda Gray,1030;
Jameson Thomas,1030,1747;
Anna May Wong,1030,226,93;
Robert Musgrave,1031;
Andrew Wilson,1031,2017,855;
Lumi Cavazos,1031,1505;
James Caan,1031,1109,1515,1815,1910,2186,2221,2254,915,979;
Owen Wilson,1031,1069,1340,1600,1659,2017,74;
Luke Wilson,1031,1314,1318,1378,1689,1795,1884,2405,2485,650,913,973;
John Travolta,1032,1215,1376,1488,1503,1674,1733,2347,342,366,768,77;
Delroy Lindo,1032,1067,1250,1536,1732,2032,2253,2505,715;
Christian Slater,1032,1124,1191,1278,1629,1688,2307,2542,367,654;
Samantha Mathis,1032,1410,2542,547,651;
Howie Long,1032;
Michael Rooker,1033,1364,1961,45;
Powers Boothe,1033,1077,1729,2227,450;
Val Kilmer,1033,1147,1428,1708,1955,1963,2408,2476,2544,455,479,527,53;
Billy Zane,1033,1294,1310,1342,1592,2093,72,860;
Bill Paxton,1033,1084,336,38,556,614,719,72,958;
Sam Elliott,1033,1191,1561,2107,2274,856,902;
Dana Delany,1033,737;
Kurt Russell,1033,1125,1299,1338,1662,2317,31,34,951;
Michael Biehn,1033,32,556;
Zuleikha Robinson,1034;
Louise Lombard,1034;
Viggo Mortensen,1034,1279,1587,261,463,464,465;
SaÃ¯d Taghmaoui,1034;
Omar Sharif,1034,1708,52,782,827;
Dakota Fanning,1035,1050,2022,588;
Rachel Ticotin,1035;
Christopher Walken,1035,1159,1160,1315,1895,2032,2276,277,365,678,77,80,922;
Radha Mitchell,1035,1406,2233;
Mickey Rourke,1035,1971,2032,2137,2227,2276,277,517,563;
Giancarlo Giannini,1035,1099,1175,1615,1772,1997,2320,2371;
Marc Anthony,1035,659;
